E. Edificación y Vivienda
Mercado de la vivienda
Compra-Venta de Viviendas
Estadística registral inmobiliaria: datos anuales por distritos
4.2.1.2. Transacciones de vivienda por Distrito y Barrio según Superficie construida
;;;Total
2018;15. Ciudad Lineal;152. Pueblo Nuevo;694
2018;15. Ciudad Lineal;153. Quintana;319
2018;15. Ciudad Lineal;154. La Concepción;261
2018;15. Ciudad Lineal;155. San Pascual;183
2018;15. Ciudad Lineal;156. San Juan Bautista;117
2018;15. Ciudad Lineal;157. Colina;84
2018;15. Ciudad Lineal;158. Atalaya;23
2018;15. Ciudad Lineal;159. Costillares;163
2018;16. Hortaleza;16. Hortaleza;2.752
2018;16. Hortaleza;161. Palomas;62
2018;16. Hortaleza;162. Piovera;146
2018;16. Hortaleza;163. Canillas;360
2018;16. Hortaleza;164. Pinar del Rey;627
2018;16. Hortaleza;165. Apóstol Santiago;131
2018;16. Hortaleza;166. Valdefuentes;1.426
2018;17. Villaverde;17. Villaverde;1.785
2018;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";637
2018;17. Villaverde;172. San Cristóbal;248
2018;17. Villaverde;173. Butarque;217
2018;17. Villaverde;174. Los Rosales;298
2018;17. Villaverde;175. Ángeles;385
2018;18. Villa de Vallecas;18. Villa de Vallecas;1.538
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;326
2018;18. Villa de Vallecas;182. Santa Eugenia;168
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;1.044
2018;19. Vicálvaro;19. Vicálvaro;769
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;311
2018;19. Vicálvaro;192. Valdebernardo;64
2018;19. Vicálvaro;193. Valderrivas;100
2018;19. Vicálvaro;194. El Cañaveral;294
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;1.743
2018;20. San Blas-Canillejas;201. Simancas;498
2018;20. San Blas-Canillejas;202. Hellín;144
2018;20. San Blas-Canillejas;203. Amposta;151
2018;20. San Blas-Canillejas;204. Arcos;240
2018;20. San Blas-Canillejas;205. Rosas;170
2018;20. San Blas-Canillejas;206. Rejas;171
2018;20. San Blas-Canillejas;207. Canillejas;266
2018;20. San Blas-Canillejas;208. El Salvador;103
2018;21. Barajas;21. Barajas;595
2018;21. Barajas;211. Alameda de Osuna;216
2018;21. Barajas;212. Aeropuerto;19
2018;21. Barajas;213. Casco Histórico de Barajas;99
2018;21. Barajas;214. Timón;155
2018;21. Barajas;215. Corralejos;106
2018;00. No consta;00. No consta;384
2019;Ciudad de Madrid;Ciudad de Madrid;34.754
2019;01. Centro;01. Centro;2.346
2019;01. Centro;011. Palacio;213
2019;01. Centro;012. Embajadores;880
2019;01. Centro;013. Cortes;198
2019;01. Centro;014. Justicia;359
2019;01. Centro;015. Universidad;612
2019;01. Centro;016. Sol;84
2019;02. Arganzuela;02. Arganzuela;971
2019;02. Arganzuela;021. Imperial;124
2019;02. Arganzuela;022. Acacias;32
2019;02. Arganzuela;023. Chopera;94
2019;02. Arganzuela;024. Legazpi;96
2019;02. Arganzuela;025. Delicias;289
2019;02. Arganzuela;026. Palos de la Frontera;330
2019;02. Arganzuela;027. Atocha;6
2019;03. Retiro;03. Retiro;1.172
2019;03. Retiro;031. Pacífico;273
2019;03. Retiro;032. Adelfas;310
2019;03. Retiro;033. Estrella;136
2019;03. Retiro;034. Ibiza;270
2019;03. Retiro;035. Los Jerónimos;80
2019;03. Retiro;036. Niño Jesús;103
2019;04. Salamanca;04. Salamanca;1.524
2019;04. Salamanca;041. Recoletos;161
2019;04. Salamanca;042. Goya;324
2019;04. Salamanca;043. Fuente del Berro;239
2019;04. Salamanca;044. Guindalera;444
2019;04. Salamanca;045. Lista;182
2019;04. Salamanca;046. Castellana;174
2019;05. Chamartín;05. Chamartín;1.433
2019;05. Chamartín;051. El Viso;173
2019;05. Chamartín;052. Prosperidad;380
2019;05. Chamartín;053. Ciudad Jardín;223
2019;05. Chamartín;054. Hispanoamérica;315
2019;05. Chamartín;055. Nueva España;217
2019;05. Chamartín;056. Castilla;125
2019;06. Tetuán;06. Tetuán;2.148
2019;06. Tetuán;061. Bellas Vistas;337
2019;06. Tetuán;062. Cuatro Caminos;511
2019;06. Tetuán;063. Castillejos;272
2019;06. Tetuán;064. Almenara;290
2019;06. Tetuán;065. Valdeacederas;396
2019;06. Tetuán;066. Berruguete;342
2019;07. Chamberí;07. Chamberí;1.692
2019;07. Chamberí;071. Gaztambide;273
2019;07. Chamberí;072. Arapiles;293
2019;07. Chamberí;073. Trafalgar;350
2019;07. Chamberí;074. Almagro;245
2019;07. Chamberí;075. Ríos Rosas;329
2019;07. Chamberí;076. Vallehermoso;202
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.092
2019;08. Fuencarral-El Pardo;081. El Pardo;18
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;28
2019;08. Fuencarral-El Pardo;083. Peñagrande;347
2019;08. Fuencarral-El Pardo;084. Pilar;310
2019;08. Fuencarral-El Pardo;085. La Paz;152
2019;08. Fuencarral-El Pardo;086. Valverde;606
