anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,barrio_oficial,seccion_num,codigo_seccion
2017,4,Salamanca,2,Goya,042,42,19,04019
2017,4,Salamanca,2,Goya,042,42,20,04020
2017,4,Salamanca,2,Goya,042,42,21,04021
2017,4,Salamanca,2,Goya,042,42,23,04023
2017,4,Salamanca,2,Goya,042,42,24,04024
2017,4,Salamanca,2,Goya,042,42,25,04025
2017,4,Salamanca,2,Goya,042,42,26,04026
2017,4,Salamanca,2,Goya,042,42,27,04027
2017,4,Salamanca,2,Goya,042,42,28,04028
2017,4,Salamanca,2,Goya,042,42,29,04029
2017,4,Salamanca,2,Goya,042,42,30,04030
2017,4,Salamanca,2,Goya,042,42,31,04031
2017,4,Salamanca,2,Goya,042,42,32,04032
2017,4,Salamanca,2,Goya,042,42,33,04033
2017,4,Salamanca,2,Goya,042,42,34,04034
2017,4,Salamanca,2,Goya,042,42,35,04035
2017,4,Salamanca,2,Goya,042,42,36,04036
2017,4,Salamanca,2,Goya,042,42,37,04037
2017,4,Salamanca,2,Goya,042,42,38,04038
2017,4,Salamanca,2,Goya,042,42,39,04039
2017,4,Salamanca,2,Goya,042,42,40,04040
2017,4,Salamanca,2,Goya,042,42,41,04041
2017,4,Salamanca,2,Goya,042,42,42,04042
2017,4,Salamanca,3,Fuente del Berro,043,43,43,04043
2017,4,Salamanca,3,Fuente del Berro,043,43,44,04044
2017,4,Salamanca,3,Fuente del Berro,043,43,45,04045
2017,4,Salamanca,3,Fuente del Berro,043,43,46,04046
2017,4,Salamanca,3,Fuente del Berro,043,43,47,04047
2017,4,Salamanca,3,Fuente del Berro,043,43,48,04048
2017,4,Salamanca,3,Fuente del Berro,043,43,49,04049
2017,4,Salamanca,3,Fuente del Berro,043,43,50,04050
2017,4,Salamanca,3,Fuente del Berro,043,43,51,04051
2017,4,Salamanca,3,Fuente del Berro,043,43,52,04052
2017,4,Salamanca,3,Fuente del Berro,043,43,53,04053
2017,4,Salamanca,3,Fuente del Berro,043,43,54,04054
2017,4,Salamanca,3,Fuente del Berro,043,43,55,04055
2017,4,Salamanca,3,Fuente del Berro,043,43,56,04056
2017,4,Salamanca,3,Fuente del Berro,043,43,57,04057
2017,4,Salamanca,3,Fuente del Berro,043,43,58,04058
2017,4,Salamanca,3,Fuente del Berro,043,43,60,04060
2017,4,Salamanca,4,Guindalera,044,44,61,04061
2017,4,Salamanca,4,Guindalera,044,44,62,04062
2017,4,Salamanca,4,Guindalera,044,44,63,04063
2017,4,Salamanca,4,Guindalera,044,44,64,04064
2017,4,Salamanca,4,Guindalera,044,44,65,04065
2017,4,Salamanca,4,Guindalera,044,44,67,04067
2017,4,Salamanca,4,Guindalera,044,44,68,04068
2017,4,Salamanca,4,Guindalera,044,44,69,04069
2017,4,Salamanca,4,Guindalera,044,44,70,04070
2017,4,Salamanca,4,Guindalera,044,44,71,04071
2017,4,Salamanca,4,Guindalera,044,44,72,04072
2017,4,Salamanca,4,Guindalera,044,44,73,04073
2017,4,Salamanca,4,Guindalera,044,44,74,04074
2017,4,Salamanca,4,Guindalera,044,44,75,04075
2017,4,Salamanca,4,Guindalera,044,44,76,04076
2017,4,Salamanca,4,Guindalera,044,44,77,04077
2017,4,Salamanca,4,Guindalera,044,44,78,04078
2017,4,Salamanca,4,Guindalera,044,44,79,04079
2017,4,Salamanca,4,Guindalera,044,44,80,04080
2017,4,Salamanca,4,Guindalera,044,44,81,04081
2017,4,Salamanca,4,Guindalera,044,44,82,04082
2017,4,Salamanca,4,Guindalera,044,44,83,04083
2017,4,Salamanca,4,Guindalera,044,44,84,04084
2017,4,Salamanca,4,Guindalera,044,44,85,04085
2017,4,Salamanca,4,Guindalera,044,44,86,04086
2017,4,Salamanca,4,Guindalera,044,44,87,04087
2017,4,Salamanca,4,Guindalera,044,44,88,04088
2017,4,Salamanca,4,Guindalera,044,44,89,04089
