ventana,anio_t0,anio_t1,codigo_barrio,barrio_nombre,indice_gentrificacion
D,2020,2022,146,Vinateros,-0.14962544634703367
D,2020,2022,151,Ventas,0.011009916206154713
D,2020,2022,152,Pueblo Nuevo,-0.05503030330654028
D,2020,2022,153,Quintana,0.12000238465282274
D,2020,2022,154,La Concepción,0.004354135589381145
D,2020,2022,155,San Pascual,-0.09704763432616453
D,2020,2022,156,San Juan Bautista,0.07603187213707886
D,2020,2022,157,Colina,0.07033664322440963
D,2020,2022,158,Atalaya,0.33429034553583165
D,2020,2022,159,Costillares,-0.10581738723264844
D,2020,2022,161,Palomas,-0.10457091706777485
D,2020,2022,162,Piovera,0.19397358905362005
D,2020,2022,163,Canillas,-0.16114237487532032
D,2020,2022,164,Pinar del Rey,-0.15511761205637362
D,2020,2022,165,Apóstol Santiago,-0.2590108389413785
D,2020,2022,166,Valdefuentes,0.012067511274899722
D,2020,2022,171,"Villaverde Alto, Casco Histórico de Villaverde",-0.10071722295770157
D,2020,2022,172,San Cristóbal,-0.1473672910136071
D,2020,2022,173,Butarque,-0.1873155742100069
D,2020,2022,174,Los Rosales,-0.1753418063782793
D,2020,2022,175,Ángeles,-0.05967209966359769
D,2020,2022,181,Casco Histórico de Vallecas,-0.162113687335732
D,2020,2022,182,Santa Eugenia,-0.26379328889429704
D,2020,2022,183,Ensanche de Vallecas,-0.00780059559951912
D,2020,2022,191,Casco Histórico de Vicálvaro,-0.1716384310085429
D,2020,2022,192,Valdebernardo,-0.2601955928872667
D,2020,2022,193,Valderrivas,-0.32085366669705645
D,2020,2022,201,Simancas,0.00452848128663894
D,2020,2022,202,Hellín,-0.05213329984427059
D,2020,2022,203,Amposta,-0.088989556849505
D,2020,2022,204,Arcos,-0.2701932632731316
D,2020,2022,205,Rosas,-0.19053375094794636
D,2020,2022,206,Rejas,0.05199485115788813
D,2020,2022,207,Canillejas,-0.15507615328141386
D,2020,2022,208,El Salvador,1.3591624366407717e-4
D,2020,2022,211,Alameda de Osuna,-0.31383523461034357
D,2020,2022,212,Aeropuerto,0.012221583885106536
D,2020,2022,213,Casco Histórico de Barajas,0.14395489340421258
D,2020,2022,214,Timón,-0.12484892240924671
D,2020,2022,215,Corralejos,-0.1116171322949977
