anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,transacciones_vivienda_barrio,tasa_transacciones_vivienda
2019,20,San Blas-Canillejas,5,Rosas,205,137,0.004319994954750418
2019,20,San Blas-Canillejas,6,Rejas,206,371,0.022162485065710873
2019,20,San Blas-Canillejas,7,Canillejas,207,312,0.010883594376809571
2019,20,San Blas-Canillejas,8,El Salvador,208,85,0.007474498768906085
2019,21,Barajas,1,Alameda de Osuna,211,288,0.014714147039288816
2019,21,Barajas,2,Aeropuerto,212,14,0.0075107296137339056
2019,21,Barajas,3,Casco Histórico de Barajas,213,72,0.00949241924851681
2019,21,Barajas,4,Timón,214,125,0.010079019512981777
2019,21,Barajas,5,Corralejos,215,64,0.00837038974627256
2020,1,Centro,1,Palacio,011,145,0.006119434479848069
2020,1,Centro,2,Embajadores,012,646,0.013679485007623242
2020,1,Centro,3,Cortes,013,113,0.01046974891133142
2020,1,Centro,4,Justicia,014,218,0.012049524651779792
2020,1,Centro,5,Universidad,015,466,0.013893858079904592
2020,1,Centro,6,Sol,016,76,0.00993853798875376
