ventana,barrio_nombre,indice_gentrificacion,categoria
B,Atocha,-0.08181822203371579,4: Quartile 3+4 (no gentrification dynamic)
B,Amposta,-0.08268522846581908,4: Quartile 3+4 (no gentrification dynamic)
B,El Pardo,-0.08819738698241213,4: Quartile 3+4 (no gentrification dynamic)
B,Puerta Bonita,-0.09113005828927874,4: Quartile 3+4 (no gentrification dynamic)
B,Pinar del Rey,-0.09267888179363358,4: Quartile 3+4 (no gentrification dynamic)
B,Almendrales,-0.09781182881216101,4: Quartile 3+4 (no gentrification dynamic)
B,Lucero,-0.10619982440731292,4: Quartile 3+4 (no gentrification dynamic)
B,Los Cármenes,-0.10660746858084807,4: Quartile 3+4 (no gentrification dynamic)
B,Media Legua,-0.11227469942551349,4: Quartile 3+4 (no gentrification dynamic)
B,Estrella,-0.11811715102178999,4: Quartile 3+4 (no gentrification dynamic)
B,Vinateros,-0.11889457013176816,4: Quartile 3+4 (no gentrification dynamic)
B,Aluche,-0.11956589872280657,4: Quartile 3+4 (no gentrification dynamic)
B,Santa Eugenia,-0.12046245796632106,4: Quartile 3+4 (no gentrification dynamic)
B,Corralejos,-0.12646162534153474,4: Quartile 3+4 (no gentrification dynamic)
B,Fontarrón,-0.1282567682113398,4: Quartile 3+4 (no gentrification dynamic)
B,"Villaverde Alto, Casco Histórico de Villaverde",-0.13376692176344948,4: Quartile 3+4 (no gentrification dynamic)
B,Alameda de Osuna,-0.1356685454704513,4: Quartile 3+4 (no gentrification dynamic)
B,Arcos,-0.13798927654038548,4: Quartile 3+4 (no gentrification dynamic)
B,Vista Alegre,-0.1415934178595733,4: Quartile 3+4 (no gentrification dynamic)
B,Moscardó,-0.1492950670231255,4: Quartile 3+4 (no gentrification dynamic)
B,Aeropuerto,-0.16039825886955042,4: Quartile 3+4 (no gentrification dynamic)
B,Palomeras Bajas,-0.16076769244993086,4: Quartile 3+4 (no gentrification dynamic)
B,Hellín,-0.16361178745021338,4: Quartile 3+4 (no gentrification dynamic)
B,Peñagrande,-0.16724786055972823,4: Quartile 3+4 (no gentrification dynamic)
B,Abrantes,-0.17079228868736798,4: Quartile 3+4 (no gentrification dynamic)
B,Casco Histórico de Vallecas,-0.17473396453718848,4: Quartile 3+4 (no gentrification dynamic)
B,Buenavista,-0.1793501869150598,4: Quartile 3+4 (no gentrification dynamic)
B,Butarque,-0.18017718844079736,4: Quartile 3+4 (no gentrification dynamic)
B,Marroquina,-0.1855333099831347,4: Quartile 3+4 (no gentrification dynamic)
B,Ángeles,-0.18653280732668107,4: Quartile 3+4 (no gentrification dynamic)
B,Zofío,-0.18741722296015295,4: Quartile 3+4 (no gentrification dynamic)
B,Cuatro Vientos,-0.1925373923396511,4: Quartile 3+4 (no gentrification dynamic)
B,Palomeras Sureste,-0.2008346904304849,4: Quartile 3+4 (no gentrification dynamic)
B,Portazgo,-0.20530247559998754,4: Quartile 3+4 (no gentrification dynamic)
B,Rosas,-0.2157866591785999,4: Quartile 3+4 (no gentrification dynamic)
B,Entrevías,-0.21642951907601882,4: Quartile 3+4 (no gentrification dynamic)
B,San Fermín,-0.2172948768327188,4: Quartile 3+4 (no gentrification dynamic)
B,Águilas,-0.2200909288680922,4: Quartile 3+4 (no gentrification dynamic)
B,La Paz,-0.2273484909316857,4: Quartile 3+4 (no gentrification dynamic)
B,Los Rosales,-0.22920192931465302,4: Quartile 3+4 (no gentrification dynamic)
B,Pradolongo,-0.23442823378922223,4: Quartile 3+4 (no gentrification dynamic)
B,Horcajo,-0.255580486470933,4: Quartile 3+4 (no gentrification dynamic)
B,San Cristóbal,-0.25815269126009804,4: Quartile 3+4 (no gentrification dynamic)
B,Orcasur,-0.2789429491787667,4: Quartile 3+4 (no gentrification dynamic)
B,Orcasitas,-0.3706344933493215,4: Quartile 3+4 (no gentrification dynamic)
B,Valderrivas,-0.6676407242162717,4: Quartile 3+4 (no gentrification dynamic)
B,Valdebernardo,-0.6761836768107017,4: Quartile 3+4 (no gentrification dynamic)
B,Rejas,-0.6818148132011176,4: Quartile 3+4 (no gentrification dynamic)
C,Justicia,1.1987895343625574,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Sol,1.0679301252082594,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Cortes,1.0560965507150604,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Universidad,1.034145426284688,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Recoletos,0.913460585852609,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Embajadores,0.9067495716316547,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Palacio,0.7673947735137258,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Castellana,0.7222471690583743,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Almagro,0.6690272291293308,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Trafalgar,0.6670842148524454,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Argüelles,0.639437207548829,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Goya,0.6235481729383003,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Lista,0.5736087109048515,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Gaztambide,0.49073756410429653,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,El Viso,0.47199506746921943,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Ríos Rosas,0.47083484352350663,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Arapiles,0.46180415697149263,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Ibiza,0.413496716964343,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Piovera,0.40105605722536947,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Los Jerónimos,0.3916684921924534,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Atocha,0.37434630876432395,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Fuente del Berro,0.37295403437944663,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Palos de la Frontera,0.364677949402719,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Castillejos,0.36014235037949505,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Cuatro Caminos,0.35096492031016446,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Nueva España,0.31987536381745857,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Ciudad Jardín,0.31676209614773965,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Guindalera,0.3065407520748081,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Atalaya,0.29062356750308166,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Castilla,0.2612985876862492,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Rejas,0.25859775225130865,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,Delicias,0.24596030929691862,"2: Quartile 1, not elitized at t0 (gentrification dynamic)"
C,San Juan Bautista,0.21255103138711073,"1: Quartile 1, elitized at t0 (super-gentrification dynamic)"
C,Berruguete,0.18514984181622163,3: Quartile 2 (slight gentrification trend)
C,Hispanoamérica,0.18461872675256016,3: Quartile 2 (slight gentrification trend)
C,Prosperidad,0.18160268782136726,3: Quartile 2 (slight gentrification trend)
C,Vallehermoso,0.18139743423450416,3: Quartile 2 (slight gentrification trend)
C,Valdeacederas,0.1811830880784275,3: Quartile 2 (slight gentrification trend)
C,El Plantío,0.17584276049781483,3: Quartile 2 (slight gentrification trend)
C,Bellas Vistas,0.1713086576210627,3: Quartile 2 (slight gentrification trend)
C,Valdemarín,0.156178731858053,3: Quartile 2 (slight gentrification trend)
C,Casco Histórico de Barajas,0.15063380343746324,3: Quartile 2 (slight gentrification trend)
C,Colina,0.1410236193048324,3: Quartile 2 (slight gentrification trend)
C,Pacífico,0.1404740789540676,3: Quartile 2 (slight gentrification trend)
C,Ciudad Universitaria,0.13743999997051315,3: Quartile 2 (slight gentrification trend)
C,Valdefuentes,0.12654841623681706,3: Quartile 2 (slight gentrification trend)
C,Quintana,0.11630974579989718,3: Quartile 2 (slight gentrification trend)
C,Legazpi,0.10446265606400736,3: Quartile 2 (slight gentrification trend)
C,Puerta del Angel,0.1028918061875299,3: Quartile 2 (slight gentrification trend)
C,Palomas,0.09608398587841796,3: Quartile 2 (slight gentrification trend)
C,Imperial,0.09032714337858144,3: Quartile 2 (slight gentrification trend)
C,Chopera,0.08909788202392425,3: Quartile 2 (slight gentrification trend)
C,Almenara,0.07980015001616475,3: Quartile 2 (slight gentrification trend)
C,Acacias,0.07817268921237099,3: Quartile 2 (slight gentrification trend)
C,Comillas,0.0736373450198063,3: Quartile 2 (slight gentrification trend)
C,Ensanche de Vallecas,0.06525799836157631,3: Quartile 2 (slight gentrification trend)
C,Adelfas,0.06462731298808308,3: Quartile 2 (slight gentrification trend)
C,Casa de Campo,0.06384801740376138,3: Quartile 2 (slight gentrification trend)
C,Niño Jesús,0.05664527117677024,3: Quartile 2 (slight gentrification trend)
C,El Salvador,0.052587182536821146,3: Quartile 2 (slight gentrification trend)
C,Mirasierra,0.02251322436845001,3: Quartile 2 (slight gentrification trend)
C,Valverde,0.018592978035485777,3: Quartile 2 (slight gentrification trend)
C,La Concepción,0.018364316790860282,3: Quartile 2 (slight gentrification trend)
C,El Goloso,0.008731854754615445,3: Quartile 2 (slight gentrification trend)
C,Simancas,0.0017979584391305252,3: Quartile 2 (slight gentrification trend)
C,Timón,-0.0012830982449372052,3: Quartile 2 (slight gentrification trend)
C,Aravaca,-0.0014462326318641615,4: Quartile 3+4 (no gentrification dynamic)
C,San Isidro,-0.01384923950859078,4: Quartile 3+4 (no gentrification dynamic)
C,San Pascual,-0.02783741428420958,4: Quartile 3+4 (no gentrification dynamic)
C,Casco Histórico de Vicálvaro,-0.030108779893672773,4: Quartile 3+4 (no gentrification dynamic)
C,Ventas,-0.031137913342774774,4: Quartile 3+4 (no gentrification dynamic)
C,Aeropuerto,-0.04137676061121874,4: Quartile 3+4 (no gentrification dynamic)
