anio,distrito_num,distrito_nombre,barrio_num,barrio_nombre,codigo_barrio,poblacion_total_barrio,pob_25_39_barrio,pct_pob_25_39
2018,20,San Blas-Canillejas,2,Hellín,202,8966,1707,0.1903859022975686
2018,20,San Blas-Canillejas,3,Amposta,203,8387,1694,0.20197925360677238
2018,20,San Blas-Canillejas,4,Arcos,204,24018,4080,0.169872595553335
2018,20,San Blas-Canillejas,5,Rosas,205,31626,4020,0.1271106051982546
2018,20,San Blas-Canillejas,6,Rejas,206,16383,3931,0.23994384422877374
2018,20,San Blas-Canillejas,7,Canillejas,207,28596,5765,0.20160162260456008
2018,20,San Blas-Canillejas,8,El Salvador,208,11312,1780,0.15735502121640735
2018,21,Barajas,1,Alameda de Osuna,211,19475,3140,0.16123234916559692
2018,21,Barajas,2,Aeropuerto,212,1790,407,0.22737430167597766
2018,21,Barajas,3,Casco Histórico de Barajas,213,7364,1851,0.2513579576317219
2018,21,Barajas,4,Timón,214,11752,2751,0.23408781484002722
2018,21,Barajas,5,Corralejos,215,7528,984,0.13071200850159406
2019,1,Centro,1,Palacio,011,22984,6128,0.2666202575704838
2019,1,Centro,2,Embajadores,012,45433,15177,0.3340523408095437
2019,1,Centro,3,Cortes,013,10525,3199,0.30394299287410925
2019,1,Centro,4,Justicia,014,17205,5096,0.2961929671607091
2019,1,Centro,5,Universidad,015,31809,10387,0.3265428023515357
2019,1,Centro,6,Sol,016,7358,2281,0.31000271812992664
2019,2,Arganzuela,1,Imperial,021,22822,4639,0.2032687757427044
2019,2,Arganzuela,2,Acacias,022,36907,7977,0.21613786002655322
2019,2,Arganzuela,3,Chopera,023,20048,4893,0.24406424581005587
2019,2,Arganzuela,4,Legazpi,024,19673,4308,0.21898032836883038
2019,2,Arganzuela,5,Delicias,025,27740,6254,0.2254506128334535
2019,2,Arganzuela,6,Palos de la Frontera,026,25894,6801,0.262647717617981
2019,2,Arganzuela,7,Atocha,027,1176,195,0.16581632653061223
2019,3,Retiro,1,Pacífico,031,33669,7056,0.20956963378775728
2019,3,Retiro,2,Adelfas,032,18516,3890,0.21008857204579823
2019,3,Retiro,3,Estrella,033,23365,3908,0.16725872030815322
2019,3,Retiro,4,Ibiza,034,21709,4465,0.2056750656409784
2019,3,Retiro,5,Los Jerónimos,035,7069,1300,0.18390154194369784
2019,3,Retiro,6,Niño Jesús,036,15359,2522,0.16420339865876685
2019,4,Salamanca,1,Recoletos,041,15786,3384,0.21436716077537057
2019,4,Salamanca,2,Goya,042,29739,7008,0.2356501563603349
2019,4,Salamanca,3,Fuente del Berro,043,21104,4836,0.22915087187263078
2019,4,Salamanca,4,Guindalera,044,41751,9222,0.2208809369835453
2019,4,Salamanca,5,Lista,045,21037,5061,0.24057612777487283
2019,4,Salamanca,6,Castellana,046,17161,4035,0.235126158149292
2019,5,Chamartin,1,El Viso,051,17325,3595,0.2075036075036075
2019,5,Chamartin,2,Prosperidad,052,36730,8411,0.22899537163081948
2019,5,Chamartin,3,Ciudad Jardín,053,18689,4253,0.22756701803199744
2019,5,Chamartin,4,Hispanoamérica,054,31815,5898,0.18538425271098538
2019,5,Chamartin,5,Nueva España,055,24699,4798,0.19425887687760637
2019,5,Chamartin,6,Castilla,056,16953,3717,0.21925322951689966
2019,6,Tetuan,1,Bellas Vistas,061,29245,7707,0.26353222773123613
2019,6,Tetuan,2,Cuatro Caminos,062,34740,8907,0.2563903281519862
2019,6,Tetuan,3,Castillejos,063,20570,5360,0.2605736509479825
2019,6,Tetuan,4,Almenara,064,22742,5420,0.23832556503385807
2019,6,Tetuan,5,Valdeacederas,065,26107,7096,0.2718044968782319
2019,6,Tetuan,6,Berruguete,066,25089,6506,0.25931683207780304
2019,7,Chamberi,1,Gaztambide,071,22997,5673,0.246684350132626
2019,7,Chamberi,2,Arapiles,072,24518,6178,0.2519781385104821
2019,7,Chamberi,3,Trafalgar,073,24777,6668,0.2691205553537555
2019,7,Chamberi,4,Almagro,074,19858,4348,0.2189545775002518
2019,7,Chamberi,5,Ríos Rosas,075,27465,6868,0.25006371745858363
2019,7,Chamberi,6,Vallehermoso,076,20297,4088,0.20140907523279303
2019,8,Fuencarral-El Pardo,1,El Pardo,081,3465,730,0.2106782106782107
2019,8,Fuencarral-El Pardo,2,Fuentelarreina,082,3272,461,0.1408924205378973
2019,8,Fuencarral-El Pardo,3,Peñagrande,083,44621,8142,0.18247013737926088
2019,8,Fuencarral-El Pardo,4,Pilar,084,46577,9556,0.20516563969341092
2019,8,Fuencarral-El Pardo,5,La Paz,085,33844,6307,0.18635504077532206
2019,8,Fuencarral-El Pardo,6,Valverde,086,63361,12613,0.1990656713120058
2019,8,Fuencarral-El Pardo,7,Mirasierra,087,32909,5311,0.16138442371387765
2019,8,Fuencarral-El Pardo,8,El Goloso,088,18576,3233,0.174041774332472
2019,9,Moncloa-Aravaca,1,Casa de Campo,091,13040,2511,0.19256134969325153
2019,9,Moncloa-Aravaca,2,Argüelles,092,24191,5378,0.22231408375015502
2019,9,Moncloa-Aravaca,3,Ciudad Universitaria,093,16317,3153,0.19323405037690752
2019,9,Moncloa-Aravaca,4,Valdezarza,094,29789,5881,0.1974218671321629
2019,9,Moncloa-Aravaca,5,Valdemarín,095,6743,984,0.14592911167136288
2019,9,Moncloa-Aravaca,6,El Plantío,096,2812,432,0.15362731152204837
2019,9,Moncloa-Aravaca,7,Aravaca,097,26857,4041,0.1504635662955654
2019,10,Latina,1,Los Cármenes,101,17448,3273,0.187585969738652
2019,10,Latina,2,Puerta del Angel,102,41878,9590,0.2289985195090501
2019,10,Latina,3,Lucero,103,36204,7074,0.1953927742790852
2019,10,Latina,4,Aluche,104,66542,12167,0.18284692374740766
2019,10,Latina,5,Campamento,105,19358,3997,0.20647794193615043
2019,10,Latina,6,Cuatro Vientos,106,5761,1249,0.21680263843082798
2019,10,Latina,7,Águilas,107,51703,8553,0.16542560393013944
2019,11,Carabanchel,1,Comillas,111,22483,5018,0.22319085531290309
2019,11,Carabanchel,2,Opañel,112,33145,7180,0.21662392517725146
2019,11,Carabanchel,3,San Isidro,113,39070,8444,0.21612490401842846
2019,11,Carabanchel,4,Vista Alegre,114,46122,9547,0.20699449286674473
2019,11,Carabanchel,5,Puerta Bonita,115,34968,7199,0.20587394188972774
2019,11,Carabanchel,6,Buenavista,116,47166,8277,0.1754865793156087
2019,11,Carabanchel,7,Abrantes,117,30840,5817,0.18861867704280155
2019,12,Usera,1,Orcasitas,121,22896,3580,0.1563591893780573
2019,12,Usera,2,Orcasur,122,13837,2801,0.2024282720242827
2019,12,Usera,3,San Fermín,123,23724,4409,0.18584555724161186
2019,12,Usera,4,Almendrales,124,21487,4778,0.2223670126122772
2019,12,Usera,5,Moscardó,125,26416,5956,0.2254694124772865
2019,12,Usera,6,Zofío,126,14018,2931,0.20908831502354117
2019,12,Usera,7,Pradolongo,127,17525,4037,0.23035663338088444
2019,13,Puente de Vallecas,1,Entrevías,131,34758,6938,0.19960872317164394
2019,13,Puente de Vallecas,2,San Diego,132,41836,10307,0.24636676546514963
2019,13,Puente de Vallecas,3,Palomeras Bajas,133,40275,7450,0.18497827436374922
2019,13,Puente de Vallecas,4,Palomeras Sureste,134,42673,8729,0.20455557378201672
2019,13,Puente de Vallecas,5,Portazgo,135,28426,5916,0.2081193273763456
2019,13,Puente de Vallecas,6,Numancia,136,47444,10688,0.22527611499873534
2019,14,Moratalaz,1,Pavones,141,9148,1509,0.16495408832531702
2019,14,Moratalaz,2,Horcajo,142,6342,794,0.1251970987070325
2019,14,Moratalaz,3,Marroquina,143,27313,4265,0.15615274777578442
2019,14,Moratalaz,4,Media Legua,144,17923,3266,0.1822239580427384
2019,14,Moratalaz,5,Fontarrón,145,17186,3209,0.18672175026184104
2019,14,Moratalaz,6,Vinateros,146,16906,2896,0.17130013013131432
2019,15,Ciudad Lineal,1,Ventas,151,48222,9900,0.20530048525569242
2019,15,Ciudad Lineal,2,Pueblo Nuevo,152,62278,13049,0.20952824432383826
2019,15,Ciudad Lineal,3,Quintana,153,24679,5592,0.22658940799870336
2019,15,Ciudad Lineal,4,La Concepción,154,20931,4240,0.20257035019827052
2019,15,Ciudad Lineal,5,San Pascual,155,18198,3193,0.17545884163094846
2019,15,Ciudad Lineal,6,San Juan Bautista,156,12508,2106,0.16837224176527021
2019,15,Ciudad Lineal,7,Colina,157,6399,1218,0.19034224097515237
2019,15,Ciudad Lineal,8,Atalaya,158,1570,216,0.1375796178343949
2019,15,Ciudad Lineal,9,Costillares,159,22073,3425,0.15516694604267658
