distrito,barrio_registrado,seccion,fecha_alta,procedencia,fecha_baja,destino,fecha_modificacion,barrio_antiguo,observaciones
4,44,94,19880701,NA,NA,NA,NA,NA,NA
4,44,131,20171101,086,NA,NA,NA,NA,NA
4,45,95,19880701,NA,20220601,096,NA,NA,NA
4,45,96,19880701,NA,NA,NA,NA,NA,NA
4,45,97,19880701,NA,NA,NA,NA,NA,NA
4,45,98,19880701,NA,NA,NA,NA,NA,NA
4,45,99,19880701,NA,NA,NA,NA,NA,NA
4,45,100,19880701,NA,NA,NA,NA,NA,NA
4,45,101,19880701,NA,NA,NA,NA,NA,NA
4,45,102,19880701,NA,NA,NA,NA,NA,NA
4,45,103,19880701,NA,NA,NA,NA,NA,NA
4,45,104,19880701,NA,NA,NA,NA,NA,NA
4,45,105,19880701,NA,NA,NA,NA,NA,NA
4,45,106,19880701,NA,NA,NA,NA,NA,NA
4,45,107,19880701,NA,NA,NA,NA,NA,NA
4,45,108,19880701,NA,NA,NA,NA,NA,NA
4,45,109,19880701,NA,NA,NA,NA,NA,NA
4,45,110,19880701,NA,NA,NA,NA,NA,NA
4,45,111,19880701,NA,NA,NA,NA,NA,NA
4,45,112,19880701,NA,NA,NA,NA,NA,NA
4,45,113,19880701,NA,NA,NA,NA,NA,NA
4,46,114,19880701,NA,NA,NA,NA,NA,NA
4,46,115,19880701,NA,NA,NA,NA,NA,NA
4,46,116,19880701,NA,NA,NA,NA,NA,NA
4,46,117,19880701,NA,NA,NA,NA,NA,NA
4,46,118,19880701,NA,NA,NA,NA,NA,NA
4,46,119,19880701,NA,NA,NA,NA,NA,NA
4,46,120,19880701,NA,NA,NA,NA,NA,NA
4,46,121,19880701,NA,NA,NA,NA,NA,NA
4,46,122,19880701,NA,20061101,123,NA,NA,NA
4,46,123,19880701,NA,NA,NA,NA,NA,NA
4,46,124,19880701,NA,NA,NA,NA,NA,NA
4,46,125,19880701,NA,20031101,126,NA,NA,NA
4,46,126,19880701,NA,NA,NA,NA,NA,NA
4,46,127,19880701,NA,NA,NA,NA,NA,NA
4,46,128,19880701,NA,NA,NA,NA,NA,NA
4,46,129,19880701,NA,20220601,128,NA,NA,NA
4,46,130,19880701,NA,NA,NA,NA,NA,NA
5,51,1,19880701,NA,NA,NA,NA,NA,NA
5,51,2,19880701,NA,NA,NA,NA,NA,NA
5,51,3,19880701,NA,NA,NA,NA,NA,NA
5,51,4,19880701,NA,NA,NA,NA,NA,NA
5,51,5,19880701,NA,NA,NA,NA,NA,NA
5,51,6,19880701,NA,NA,NA,NA,NA,NA
5,51,7,19880701,NA,NA,NA,NA,NA,NA
5,51,8,19880701,NA,NA,NA,NA,NA,NA
5,51,9,19880701,NA,NA,NA,NA,NA,NA
5,51,10,19880701,NA,NA,NA,NA,NA,NA
5,51,11,19880701,NA,NA,NA,NA,NA,NA
5,51,12,19880701,NA,NA,NA,NA,NA,NA
5,51,13,19880701,NA,NA,NA,NA,NA,NA
5,52,14,19880701,NA,NA,NA,NA,NA,NA
5,52,15,19880701,NA,NA,NA,NA,NA,NA
5,52,16,19880701,NA,NA,NA,NA,NA,NA
5,52,17,19880701,NA,NA,NA,NA,NA,NA
5,52,18,19880701,NA,NA,NA,NA,NA,NA
5,52,19,19880701,NA,NA,NA,NA,NA,NA
5,52,20,19880701,NA,NA,NA,NA,NA,NA
